Kepler ID,RA (J2000),Dec (J2000),Time of Transit Epoch,Period,Transit Depth,Duration,Ingress Duration,Impact Parameter,Inclination,Semi-major Axis,Eccentricity,Long of Periastron,r/R,a/R,Planet Radius,Teq,Teff,log(g),Metallicity,Stellar Radius,Stellar Mass,Age,Provenance,Quarters,Transit Number,KOI count,Binary Discrimination
757450,19 24 33.025,+36 34 38.57,169.99111,8.8849176,15827,2.0809,,0.02,89.95,0.077,0,,0.112,36.3,9.4,721,5152,4.54,,0.77,0.77,12.9,Pinsonneault,,,1,
892772,19 24 36.811,+36 40 43.83,357.5365,5.092505,284,3.5648,,0.21,88.81,0.055,0,,0.015,10.9,1.35,829,4858,4.55,,0.82,0.87,,KIC,,,1,
1026957,19 25 01.077,+36 44 37.00,166.54036,21.761277,1236,1.5138,,0.916,88.81,0.136,0,,0.04,54,3.1,493,4917,4.6,,0.7,0.713,13.9,Pinsonneault,,,1,
1027438,19 25 24.968,+36 47 04.27,145.84,110.616,27,5,,0.93,89.38,0.489,0,,0.005,65,0.91,512,6507,4.16,,1.56,1.27,2.87,Pinsonneault,,,1,
1161345,19 24 11.712,+36 50 23.58,262.06411,4.2873775,1071,1.548,,0.69,87.66,0.052,0,,0.032,16.3,3.19,1023,5515,4.51,,0.92,1.01,1.3,SPC,,,1,
1161949,19 24 42.722,+36 52 28.49,366.0406,473.94208,380.9,12.1,0.25,0.3,89.93,1.282,0,,0.018,286,3.59,341.4,6513,4.02,-0.14,1.81,,,q1_q16_stellar,1.11111E+15,3,1,0.848
1164301,19 26 46.069,+36 52 53.07,224.27461,95.690122,648.3,6.183,0.15,0.31,89.84,0.589,0,,0.023,115,32.7,1046,5040,2.681,0.07,13.056,,,q1_q16_stellar,1.11111E+15,13,1,0.753
1293031,19 24 05.032,+36 54 13.13,131.9348,0.5394074,45.9,2,0.015,0.4,78,0.015,0,,0.006,1.9,1.82,3704,,,,2.625,,,,,1812,1,1
1297263,19 27 47.644,+36 57 07.49,281.29581,153.520954,306.3,3.94,0.08,0.5,89.89,0.597,0,,0.017,265,3.46,493,6233,3.951,-0.14,1.921,,,q1_q16_stellar,1.10011E+13,5,1,0.492
1429589,19 23 01.501,+37 05 23.31,144.465,38.1690053,81.5,6.572,0.05,0,90,0.224,0,,0.008,45,1.32,696,6164,4.117,-0.28,1.465,,,q1_q16_stellar,1.11111E+15,34,1,1
1430305,19 23 42.912,+37 05 06.90,431.337,359.3203,288,9.3,0.2,0,89.9,1.13,0,,0.016,289,3.9,407,,,,2.243,,,,,3,1,0.866
1431122,19 24 34.197,+37 03 40.76,132.8642,4.298863,173,2.4503,,0.73,85.37,0.049,0,,0.013,9.4,1.28,1021,5461,4.47,,0.88,0.839,10.4,Pinsonneault,,,1,
1432214,19 25 31.846,+37 04 22.76,214.03849,161.78811,85442,5.2038,,0.182,89.95,0.592,0,,0.268,298.1,28,341,6069,4.5,,0.96,1.06,0.4,Pinsonneault,,,1,
1432789,19 25 59.861,+37 03 33.41,136.4865,9.93161,362,5.8836,,0.792,84.8,0.09,0,,0.019,8.32,1.85,806,5841,4.54,,0.88,0.986,0.4,Pinsonneault,,,1,
1433962,19 27 02.871,+37 05 55.10,133.9181,1.5926501,1038,6.0472,,0.03,89.38,0.023,0,,0.029,2.153,1.87,1014,4502,4.68,,0.6,0.63,13.6,Pinsonneault,,,1,
1433980,19 27 03.918,+37 05 49.89,132.2534146,1.592746615,3054.3,6,0.293032,0.1,87.3,0.029,0,,0.051,2.121,9.485,2166.7,,,,1.71,,,,,0,1,-1
1571511,19 23 59.260,+37 11 57.19,177.594552,14.0224519,20256,8.0503,,0,89.95,0.115,0,,0.129,15.043,14.7,802,6054,4.42,,1.04,1.03,3.3,Pinsonneault,,,1,
1572948,19 25 18.596,+37 07 36.12,131.97609,3.00352895,414.9,1.65,0.032,0.2,89.2,0.045,0,,0.019,13.9,3.65,1828,6606,4.071,-0.16,1.768,,,q1_q16_stellar,110,58,1,0.485
